ID,Time,Value_1,Value_2,Mask_1,Mask_2,Cov
0.0,22.1,1.0322197675704956,5.058597087860107,1.0,1.0,0.0
0.0,4.2,0.999302327632904,4.4304327964782715,1.0,1.0,0.0
0.0,30.6,0.7100599408149719,4.900386333465576,1.0,1.0,0.0
0.0,23.0,1.173707127571106,4.836568832397461,1.0,1.0,0.0
0.0,13.3,1.2143057584762573,4.338466644287109,1.0,1.0,0.0
0.0,13.8,1.211283802986145,4.234859466552734,1.0,1.0,0.0
0.0,5.300000000000001,0.9306942224502563,4.537023544311523,1.0,1.0,0.0
0.0,45.900000000000006,0.9511791467666626,5.295321941375732,1.0,1.0,0.0
0.0,25.6,0.0,3.6850333213806152,0.0,1.0,0.0
0.0,3.4000000000000004,1.0518302917480469,0.0,1.0,0.0,0.0
0.0,18.6,0.7858906388282776,4.839136123657227,1.0,1.0,0.0
0.0,6.2,0.9090380072593689,4.6304612159729,1.0,1.0,0.0
0.0,14.8,1.1247308254241943,4.141965389251709,1.0,1.0,0.0
0.0,7.800000000000001,0.8714991807937622,4.8576860427856445,1.0,1.0,0.0
0.0,18.3,0.7814691066741943,4.777350425720215,1.0,1.0,0.0
0.0,45.5,0.8910130262374878,5.320483684539795,1.0,1.0,0.0
0.0,46.7,1.0951995849609375,5.142919540405273,1.0,1.0,0.0
0.0,0.4,1.0664879083633423,4.643246173858643,1.0,1.0,0.0
0.0,13.100000000000001,0.0,4.386396408081055,0.0,1.0,0.0
0.0,48.7,1.6726590394973755,3.858116626739502,1.0,1.0,0.0
0.0,32.1,0.0,5.200138568878174,0.0,1.0,0.0
0.0,15.8,0.9895500540733337,4.212618827819824,1.0,1.0,0.0
0.0,11.9,1.1438053846359253,0.0,1.0,0.0,0.0
0.0,31.900000000000002,0.7775614261627197,5.175710678100586,1.0,1.0,0.0
0.0,9.5,0.9441709518432617,4.950163841247559,1.0,1.0,0.0
0.0,38.0,1.3489044904708862,3.1972882747650146,1.0,1.0,0.0
0.0,32.7,0.0,5.259078502655029,0.0,1.0,0.0
0.0,19.200000000000003,0.7922540307044983,4.958371639251709,1.0,1.0,0.0
0.0,18.900000000000002,0.7885894775390625,4.899986267089844,1.0,1.0,0.0
1.0,25.3,0.8395103216171265,5.309178829193115,1.0,1.0,0.0
1.0,16.7,1.3442988395690918,4.4093194007873535,1.0,1.0,0.0
1.0,48.6,0.7117059826850891,5.155651092529297,1.0,1.0,0.0
1.0,44.400000000000006,0.7939985394477844,3.6950743198394775,1.0,1.0,0.0
1.0,22.6,0.6989622116088867,4.779526710510254,1.0,1.0,0.0
1.0,44.2,0.8448445200920105,3.6113836765289307,1.0,1.0,0.0
1.0,29.1,1.7517577409744263,3.6449697017669678,1.0,1.0,0.0
1.0,39.900000000000006,1.2187567949295044,4.908694744110107,1.0,1.0,0.0
1.0,22.900000000000002,0.7058985829353333,4.863582134246826,1.0,1.0,0.0
1.0,48.0,0.6698021292686462,5.0107102394104,1.0,1.0,0.0
1.0,19.400000000000002,1.0741362571716309,3.775393009185791,1.0,1.0,0.0
1.0,17.400000000000002,1.4170297384262085,4.071280479431152,1.0,1.0,0.0
1.0,0.9,0.8995886445045471,4.893035411834717,1.0,1.0,0.0
1.0,48.400000000000006,0.6977665424346924,0.0,1.0,0.0,0.0
1.0,4.6000000000000005,1.1577857732772827,4.621652603149414,1.0,1.0,0.0
1.0,5.9,0.0,4.275531768798828,0.0,1.0,0.0
1.0,32.7,0.6587240695953369,3.9191203117370605,1.0,1.0,0.0
1.0,2.6,0.9825922846794128,4.920168876647949,1.0,1.0,0.0
1.0,42.2,1.6393848657608032,3.3358285427093506,1.0,1.0,0.0
1.0,4.0,1.0994081497192383,4.756319522857666,1.0,1.0,0.0
2.0,2.2,0.9025439620018005,4.297536373138428,1.0,1.0,0.0
2.0,35.6,1.8150825500488281,3.3533153533935547,1.0,1.0,0.0
2.0,19.3,0.875906229019165,5.295531749725342,1.0,1.0,0.0
2.0,43.6,0.7828599810600281,5.284412384033203,1.0,1.0,0.0
2.0,26.1,0.0,3.7752749919891357,0.0,1.0,0.0
2.0,29.3,0.0,4.940452575683594,0.0,1.0,0.0
2.0,37.0,0.0,3.096451997756958,0.0,1.0,0.0
2.0,20.5,1.0491904020309448,5.186054229736328,1.0,1.0,0.0
2.0,14.200000000000001,0.734581708908081,0.0,1.0,0.0,0.0
2.0,33.800000000000004,1.2570929527282715,4.917500972747803,1.0,1.0,0.0
2.0,1.8,0.9564704298973083,4.218700408935547,1.0,1.0,0.0
2.0,22.3,1.5488187074661255,4.209738254547119,1.0,1.0,0.0
2.0,23.900000000000002,1.5507797002792358,3.1605653762817383,1.0,1.0,0.0
2.0,0.9,1.0861655473709106,4.112137317657471,1.0,1.0,0.0
2.0,33.0,1.0483630895614624,5.234415531158447,1.0,1.0,0.0
2.0,46.300000000000004,1.2358328104019165,4.960518836975098,1.0,1.0,0.0
2.0,32.4,0.9486081004142761,5.327304363250732,1.0,1.0,0.0
